Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-DEC-2024,11700.5,11733.65,11657.2,11693.05,274876191,14052.09
17-DEC-2024,11664.15,11686.5,11520.45,11534.85,408669750,15630.92
18-DEC-2024,11540.05,11552.55,11376.0,11402.45,369475529,14117.19
19-DEC-2024,11231.95,11304.85,11230.5,11273.35,323579917,15189.08
20-DEC-2024,11269.2,11325.3,11014.5,11038.9,525354886,29284.41
23-DEC-2024,11121.85,11189.45,11084.55,11132.55,314171970,11558.97
24-DEC-2024,11140.3,11174.85,11075.55,11092.15,277919510,10895.0
26-DEC-2024,11111.4,11141.75,11045.8,11099.1,273801406,10372.24
27-DEC-2024,11122.75,11150.3,11060.25,11067.9,215011933,9216.33
30-DEC-2024,11072.65,11138.5,10981.35,11018.05,705736414,26025.33
31-DEC-2024,10971.25,11056.7,10928.45,11036.9,285552686,11786.41
01-JAN-2025,11032.45,11095.7,10973.55,11061.2,221529239,7753.19
02-JAN-2025,11080.1,11202.55,11034.65,11192.6,349259959,14309.55
03-JAN-2025,11195.95,11226.6,11100.75,11115.65,397724627,14885.64
06-JAN-2025,11128.35,11132.7,10792.5,10826.2,531696147,14833.41
07-JAN-2025,10852.0,10953.7,10848.95,10910.65,298873325,11367.95
08-JAN-2025,10929.85,10934.0,10721.9,10799.2,359215240,15000.48
09-JAN-2025,10787.1,10793.45,10646.95,10656.2,356189742,16919.52
10-JAN-2025,10638.1,10660.25,10443.7,10459.1,411598660,13527.07
13-JAN-2025,10334.15,10374.65,10102.25,10130.75,493320063,15778.31
14-JAN-2025,10169.45,10382.0,10166.65,10356.8,518855140,22066.6
15-JAN-2025,10409.65,10488.5,10364.25,10434.8,423618677,17040.04
16-JAN-2025,10557.1,10584.4,10523.0,10532.5,376047560,16048.1
17-JAN-2025,10518.5,10588.7,10494.95,10558.9,311776891,15738.67
20-JAN-2025,10592.2,10682.35,10538.8,10658.0,389323988,16433.77
21-JAN-2025,10684.75,10687.85,10434.0,10445.75,357957434,19947.42
22-JAN-2025,10482.45,10484.2,10245.1,10368.0,378896450,17784.67
23-JAN-2025,10347.8,10492.2,10324.2,10478.75,306860798,18102.41
24-JAN-2025,10485.85,10551.1,10365.5,10395.5,324793757,15658.69
27-JAN-2025,10320.75,10357.25,10249.75,10275.6,647621065,18026.17
28-JAN-2025,10325.75,10380.55,10211.3,10290.1,623926722,21333.32
29-JAN-2025,10301.95,10410.05,10284.45,10403.9,436019801,14134.67
30-JAN-2025,10412.4,10489.25,10375.95,10412.85,451577742,17602.75
31-JAN-2025,10434.05,10581.25,10397.95,10560.55,499372601,18182.27
01-FEB-2025,10592.05,10674.65,10362.7,10488.4,352512188,13746.4
03-FEB-2025,10384.5,10394.55,10262.7,10354.4,363666602,16223.82
04-FEB-2025,10423.55,10578.05,10413.05,10568.25,358970562,18950.82
05-FEB-2025,10591.6,10640.8,10569.4,10582.9,409231927,16102.37
06-FEB-2025,10623.3,10628.3,10464.75,10492.2,340618745,15419.11
07-FEB-2025,10515.5,10605.1,10450.2,10546.85,402135942,16441.6
10-FEB-2025,10531.55,10539.35,10367.2,10402.1,284146724,10759.77
11-FEB-2025,10394.85,10404.15,10178.35,10225.15,329524076,13916.93
12-FEB-2025,10222.15,10298.85,10033.75,10250.3,424746513,15090.36
13-FEB-2025,10256.0,10372.85,10235.05,10262.3,343013539,14236.32
14-FEB-2025,10291.65,10314.45,10018.9,10105.55,356678832,13187.16
17-FEB-2025,10050.5,10162.3,9942.8,10152.55,333452287,11165.59
18-FEB-2025,10151.0,10171.45,10033.85,10152.25,310071811,11353.18
19-FEB-2025,10108.0,10286.7,10079.4,10242.8,288164746,10866.11
20-FEB-2025,10204.4,10319.05,10195.65,10304.0,343088718,12479.19
21-FEB-2025,10281.15,10356.5,10226.55,10290.65,392013345,13388.09
24-FEB-2025,10198.55,10241.4,10157.3,10178.95,279644179,10885.99
25-FEB-2025,10171.3,10206.4,10115.6,10138.45,315432770,13861.04
27-FEB-2025,10118.8,10138.65,10008.55,10043.0,451506752,21728.13
28-FEB-2025,9987.65,9994.4,9839.7,9910.0,712802316,36969.88
03-MAR-2025,9948.95,10014.8,9843.25,9982.95,436386025,16683.86
04-MAR-2025,9899.6,10021.35,9882.4,10001.2,452212271,14110.48
05-MAR-2025,9995.8,10207.1,9991.85,10202.55,450064490,16302.27
06-MAR-2025,10272.05,10316.85,10184.1,10300.5,444790462,17456.42
07-MAR-2025,10281.15,10341.15,10237.85,10268.55,358579437,12151.21
10-MAR-2025,10266.7,10339.55,10168.25,10190.15,382360917,14679.52
11-MAR-2025,10114.15,10266.5,10099.8,10247.85,477632438,19292.28
12-MAR-2025,10275.55,10327.55,10150.3,10246.45,455804570,20047.05
13-MAR-2025,10293.35,10306.6,10183.4,10199.2,365329463,14037.59
17-MAR-2025,10215.35,10290.3,10214.2,10252.35,327991006,13369.34
18-MAR-2025,10320.9,10475.65,10302.65,10465.4,364816606,14860.01
19-MAR-2025,10507.0,10646.75,10505.0,10631.2,467558402,15960.23
20-MAR-2025,10680.85,10686.85,10574.65,10670.2,352812949,15654.28
21-MAR-2025,10670.75,10802.8,10659.5,10766.8,591919963,31503.35
24-MAR-2025,10852.2,10956.4,10822.4,10936.7,443691972,17469.61
25-MAR-2025,10995.9,11017.95,10859.85,10892.5,458111112,22713.12
26-MAR-2025,10900.25,10936.45,10789.2,10808.4,398747924,16141.24
27-MAR-2025,10786.8,10961.85,10772.65,10937.35,922669663,27076.42
28-MAR-2025,10963.95,11003.3,10865.0,10899.0,470827835,15813.63
01-APR-2025,10830.95,10918.6,10720.9,10731.45,406375337,15487.9
02-APR-2025,10750.15,10825.5,10692.85,10817.4,362183655,12992.16
03-APR-2025,10721.55,10900.15,10721.2,10880.3,512790290,12259.27
04-APR-2025,10859.7,10865.8,10589.85,10622.8,535006321,16966.96
07-APR-2025,9977.05,10262.5,9962.55,10220.15,652396610,23186.67
08-APR-2025,10404.65,10468.25,10269.2,10392.75,433647355,17995.99
09-APR-2025,10382.55,10384.4,10260.2,10303.3,392425652,14987.88
11-APR-2025,10502.25,10562.2,10441.25,10517.0,385774306,18156.96
15-APR-2025,10732.85,10843.0,10680.2,10828.85,434088300,21352.75
16-APR-2025,10845.15,10888.35,10813.05,10880.8,443831527,17974.51
17-APR-2025,10860.15,11026.65,10827.4,11002.7,572779259,22436.06
21-APR-2025,11055.0,11181.6,11023.45,11148.75,617232823,20828.96
22-APR-2025,11206.4,11256.15,11133.25,11202.5,559893416,25428.97
23-APR-2025,11274.5,11275.0,11098.95,11201.1,491107222,20755.94
24-APR-2025,11187.45,11217.4,11159.25,11188.3,423864186,19241.47
25-APR-2025,11211.8,11251.2,10900.55,11014.3,510108857,20284.39
28-APR-2025,10997.35,11164.95,10994.5,11139.55,373575288,14027.98
29-APR-2025,11173.5,11214.75,11074.1,11082.25,381812307,15835.52
30-APR-2025,11089.65,11143.55,10981.9,11040.8,396198252,21504.37
02-MAY-2025,11019.6,11134.7,10932.05,10969.5,358372805,17546.9
05-MAY-2025,11004.25,11064.25,10970.4,11044.45,339721463,18904.8
06-MAY-2025,11061.2,11067.2,10898.5,10919.7,828758299,17822.41
07-MAY-2025,10815.1,10947.7,10813.0,10927.9,552974959,17666.22
08-MAY-2025,10940.55,10968.5,10741.35,10797.6,606186006,22321.04
09-MAY-2025,10612.05,10759.65,10612.05,10709.3,1110900717,18469.23
12-MAY-2025,10967.7,11184.55,10944.2,11176.3,920438220,18934.31
13-MAY-2025,11168.6,11200.85,11064.0,11082.0,658204853,18166.32
14-MAY-2025,11114.4,11184.1,11083.7,11133.55,584156317,16515.37
15-MAY-2025,11166.05,11313.35,11090.6,11299.5,641565634,23157.63
16-MAY-2025,11330.2,11378.4,11289.5,11361.5,563923478,19177.56
19-MAY-2025,11382.35,11421.75,11352.6,11372.15,455282248,14210.27
20-MAY-2025,11427.85,11432.3,11236.2,11247.35,492183374,18795.23
21-MAY-2025,11274.15,11350.3,11235.25,11292.4,390464578,15306.28
22-MAY-2025,11269.35,11275.3,11160.5,11228.0,405111204,17161.26
23-MAY-2025,11248.9,11315.25,11225.6,11288.5,287720755,10615.09
26-MAY-2025,11336.95,11412.45,11310.8,11347.9,308149173,12508.69
27-MAY-2025,11339.7,11365.35,11233.85,11284.3,355866469,17262.88
28-MAY-2025,11301.25,11314.05,11227.9,11242.05,322182868,12608.7
29-MAY-2025,11289.8,11310.55,11223.6,11285.6,412425928,18828.27
