Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-DEC-2024,20356.2,20377.4,20228.25,20359.0,135627371,7434.45
17-DEC-2024,20325.65,20405.5,20061.8,20098.4,193502284,10462.43
18-DEC-2024,20049.25,20081.55,19886.55,19926.0,153981804,8869.29
19-DEC-2024,19622.0,19872.8,19617.65,19823.95,162977923,9233.42
20-DEC-2024,19838.5,19961.2,19327.4,19428.75,438390191,19195.29
23-DEC-2024,19481.1,19604.1,19367.75,19416.3,189162209,8647.28
24-DEC-2024,19442.7,19620.25,19378.55,19527.05,139587633,7305.97
26-DEC-2024,19572.85,19712.9,19526.65,19695.6,129480231,7511.75
27-DEC-2024,19755.5,19982.7,19714.4,19732.85,99386144,6907.82
30-DEC-2024,19724.3,19745.3,19518.15,19584.75,340250648,15820.94
31-DEC-2024,19529.35,19696.15,19447.95,19628.9,117838513,6133.45
01-JAN-2025,19627.55,19777.45,19497.25,19749.15,65599776,4895.02
02-JAN-2025,19810.05,20286.75,19740.1,20261.05,173066343,13659.34
03-JAN-2025,20301.85,20311.8,20096.0,20136.25,186975051,11627.16
06-JAN-2025,20183.45,20207.05,19543.8,19624.35,192593618,9830.47
07-JAN-2025,19612.4,19744.55,19559.25,19590.85,219974621,9681.72
08-JAN-2025,19635.95,19640.2,19354.2,19514.8,177244537,9693.23
09-JAN-2025,19575.55,19593.4,19365.6,19376.35,171915705,9480.86
10-JAN-2025,19366.15,19414.4,19038.8,19143.0,170819338,8189.54
13-JAN-2025,18919.15,18945.25,18459.4,18489.0,225389061,10286.47
14-JAN-2025,18576.05,18946.35,18570.85,18881.15,224346521,10973.28
15-JAN-2025,18980.35,19074.5,18864.45,18963.5,169046519,8713.5
16-JAN-2025,19168.7,19239.6,19063.45,19088.45,177064984,9228.1
17-JAN-2025,19152.5,19251.75,19004.9,19183.5,153676009,9059.22
20-JAN-2025,19241.5,19258.05,19008.15,19094.2,195974622,9086.16
21-JAN-2025,19037.55,19130.15,18628.25,18655.15,431749134,14966.43
22-JAN-2025,18682.5,18718.1,18395.15,18596.05,291335827,11028.58
23-JAN-2025,18591.5,18853.95,18541.85,18801.4,164024901,7977.35
24-JAN-2025,18773.45,18902.3,18499.7,18532.25,172650539,9042.34
27-JAN-2025,18426.0,18437.55,18213.25,18259.5,188659104,8390.17
28-JAN-2025,18335.65,18597.35,18157.15,18419.55,215939790,10089.65
29-JAN-2025,18466.15,18753.9,18461.85,18700.95,179729678,9545.42
30-JAN-2025,18652.15,18812.55,18539.5,18647.65,249815324,13466.93
31-JAN-2025,18685.7,19025.15,18626.35,18979.9,175631821,9114.23
01-FEB-2025,19035.05,19357.6,18814.55,19245.7,217634332,11042.17
03-FEB-2025,19209.3,19209.3,18993.05,19088.2,288639528,13819.94
04-FEB-2025,19292.3,19414.1,19101.75,19283.05,232039639,11641.13
05-FEB-2025,19316.7,19386.5,19277.4,19316.65,163218399,8109.95
06-FEB-2025,19401.1,19407.55,19168.8,19211.7,151729505,8394.69
07-FEB-2025,19276.35,19351.7,19091.75,19239.55,132623598,8593.41
10-FEB-2025,19271.9,19301.5,18937.65,18978.45,121755988,7229.28
11-FEB-2025,18938.8,18947.3,18456.75,18512.75,195373629,9435.09
12-FEB-2025,18480.25,18534.3,18064.85,18432.35,271815545,11932.1
13-FEB-2025,18486.05,18610.35,18356.65,18407.2,159665649,7279.96
14-FEB-2025,18469.55,18499.5,17926.9,18079.45,169969523,7471.37
17-FEB-2025,17994.3,18171.75,17750.7,18146.45,193417337,7676.19
18-FEB-2025,18170.75,18183.95,17954.5,18159.2,149465097,6069.46
19-FEB-2025,18046.15,18309.45,17994.05,18282.05,153771649,6326.66
20-FEB-2025,18212.6,18516.6,18147.6,18501.55,134335876,7111.39
21-FEB-2025,18437.4,18526.45,18123.7,18184.45,142567324,8610.92
24-FEB-2025,18034.4,18160.3,17992.25,18106.2,135230089,7256.21
25-FEB-2025,18126.35,18240.7,18057.8,18091.4,146963129,7822.04
27-FEB-2025,18130.6,18175.15,17864.85,17928.3,154737226,7575.83
28-FEB-2025,17818.7,17819.85,17375.7,17413.0,342277549,15828.0
03-MAR-2025,17478.4,17617.6,17166.3,17408.2,185359337,9476.66
04-MAR-2025,17238.85,17448.1,17179.15,17347.2,164206729,8541.94
05-MAR-2025,17368.25,17788.9,17363.95,17762.9,172305181,8830.55
06-MAR-2025,17966.6,17986.05,17763.75,17942.85,185544222,10167.19
07-MAR-2025,17937.05,18096.4,17889.4,17922.15,153189590,8325.84
10-MAR-2025,17912.75,17958.0,17658.6,17694.0,163770726,7694.78
11-MAR-2025,17563.6,17763.75,17503.1,17730.85,251881817,9726.89
12-MAR-2025,17781.0,17874.2,17587.75,17796.75,205475401,9242.8
13-MAR-2025,17863.6,17868.0,17594.05,17612.25,157656338,7145.65
17-MAR-2025,17578.7,17848.25,17576.6,17714.85,154509283,7698.19
18-MAR-2025,17808.2,18114.15,17783.55,18096.1,180144325,8881.91
19-MAR-2025,18151.15,18362.65,18105.8,18297.0,168483617,9415.17
20-MAR-2025,18423.0,18565.05,18340.55,18528.65,171554956,9614.24
21-MAR-2025,18572.4,18790.05,18533.8,18694.3,339691674,15137.22
24-MAR-2025,18816.8,18871.25,18690.05,18814.75,189470583,10620.61
25-MAR-2025,18921.55,18937.05,18533.15,18566.95,205452086,10450.41
26-MAR-2025,18547.35,18651.35,18476.6,18490.2,273360009,10664.79
27-MAR-2025,18309.65,18496.3,18198.6,18460.4,732982715,24423.63
28-MAR-2025,18493.15,18563.2,18226.85,18309.45,255113345,11730.13
01-APR-2025,18225.85,18497.85,18168.3,18262.7,192581256,8819.41
02-APR-2025,18289.05,18495.35,18177.05,18481.95,160099697,7161.48
03-APR-2025,18226.15,18420.1,18225.15,18347.9,169829644,7410.13
