,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,11-Oct-2024,EQ,287.2,288.65,284.15,286.9,285.25,285.9,286.24,340.5,127.0,"96,77,338","2,77,00,67,922.90","97,555"
1,10-Oct-2024,EQ,283.95,289.6,283.4,282.4,286.9,286.9,286.98,340.5,127.0,"1,91,55,691","5,49,72,26,134.85","1,65,859"
2,09-Oct-2024,EQ,282.0,286.6,278.5,280.25,282.6,282.4,282.82,340.5,127.0,"1,89,84,175","5,36,90,23,738.45","1,75,927"
3,08-Oct-2024,EQ,267.0,281.5,265.55,267.35,281.5,280.25,275.06,340.5,127.0,"2,91,90,708","8,02,92,27,634.25","2,33,418"
4,07-Oct-2024,EQ,277.4,278.9,265.0,277.2,267.4,267.35,269.31,340.5,127.0,"2,17,04,629","5,84,53,56,472.95","2,40,837"
5,04-Oct-2024,EQ,278.7,281.9,273.55,278.7,277.4,277.2,278.23,340.5,127.0,"1,74,51,235","4,85,54,58,363.60","1,56,166"
6,03-Oct-2024,EQ,275.05,286.3,275.05,283.95,278.8,278.7,280.65,340.5,127.0,"2,73,21,529","7,66,78,03,017.50","2,39,354"
7,01-Oct-2024,EQ,285.1,286.6,282.55,285.1,284.0,283.95,284.55,340.5,127.0,"1,38,83,476","3,95,05,04,883.90","1,41,159"
8,30-Sep-2024,EQ,293.45,294.6,283.6,293.45,284.4,285.1,286.92,340.5,127.0,"3,26,95,169","9,38,07,92,758.45","2,77,838"
9,27-Sep-2024,EQ,292.35,294.85,289.2,290.5,291.95,293.45,293.17,340.5,127.0,"20,85,88,855","61,15,26,30,021.55","3,35,221"
10,26-Sep-2024,EQ,290.6,291.9,289.05,289.85,290.4,290.5,290.27,340.5,127.0,"1,83,43,882","5,32,46,09,068.65","1,56,566"
11,25-Sep-2024,EQ,294.0,295.0,287.65,291.8,289.75,289.85,291.01,340.5,127.0,"1,92,63,084","5,60,56,65,283.10","2,24,188"
12,24-Sep-2024,EQ,286.3,293.4,284.55,286.3,292.9,291.8,289.47,340.5,127.0,"2,53,46,532","7,33,70,15,083.50","3,04,302"
13,23-Sep-2024,EQ,280.0,286.7,278.65,277.35,286.5,286.3,283.71,340.5,127.0,"1,94,45,968","5,51,71,03,114.45","1,65,132"
14,20-Sep-2024,EQ,274.0,279.4,272.85,272.7,277.7,277.35,276.68,340.5,127.0,"3,85,01,362","10,65,24,41,297.45","2,35,297"
15,19-Sep-2024,EQ,284.0,284.85,267.1,282.85,274.0,272.7,272.57,340.5,127.0,"4,45,60,220","12,14,58,00,771.85","3,71,919"
16,18-Sep-2024,EQ,284.9,286.0,280.4,284.3,282.6,282.85,283.03,340.5,127.0,"1,04,50,571","2,95,78,49,161.60","1,13,449"
17,17-Sep-2024,EQ,290.5,290.85,283.9,290.4,284.4,284.3,285.42,340.5,127.0,"1,59,46,216","4,55,14,32,389.45","1,69,137"
18,16-Sep-2024,EQ,290.9,292.2,288.4,289.95,290.95,290.4,290.12,340.5,127.0,"91,84,637","2,66,46,14,503.70","77,428"
19,13-Sep-2024,EQ,293.0,294.0,289.6,291.7,290.1,289.95,291.21,340.5,127.0,"1,23,30,463","3,59,07,90,408.60","1,10,888"
20,12-Sep-2024,EQ,290.9,292.5,289.0,288.05,291.25,291.7,291.11,340.5,127.0,"1,61,02,095","4,68,75,07,255.35","1,16,045"
21,11-Sep-2024,EQ,286.45,290.45,284.35,285.75,288.1,288.05,288.06,340.5,127.0,"2,16,50,737","6,23,66,78,131.05","2,24,251"
22,10-Sep-2024,EQ,282.5,288.35,282.3,281.55,286.15,285.75,285.55,340.5,127.0,"1,99,82,334","5,70,59,40,169.70","2,42,536"
23,09-Sep-2024,EQ,282.0,284.5,275.75,283.6,284.15,281.55,279.22,340.5,127.0,"2,91,70,063","8,14,48,80,223.00","3,05,330"
24,06-Sep-2024,EQ,290.35,290.35,282.05,290.6,284.05,283.6,284.33,340.5,127.0,"3,00,62,372","8,54,77,78,466.60","3,82,227"
25,05-Sep-2024,EQ,299.0,299.5,290.0,298.95,290.55,290.6,292.71,340.5,127.0,"2,63,42,723","7,71,08,18,581.45","2,94,621"
26,04-Sep-2024,EQ,297.15,301.9,295.3,297.15,299.0,298.95,298.84,340.5,127.0,"1,79,37,646","5,36,05,22,038.45","1,69,249"
27,03-Sep-2024,EQ,300.0,301.35,296.75,296.9,297.25,297.15,298.43,340.5,127.0,"1,39,71,488","4,16,95,27,934.70","1,13,157"
28,02-Sep-2024,EQ,301.95,301.95,295.05,299.3,296.85,296.9,297.16,340.5,127.0,"1,17,13,172","3,48,06,54,200.95","1,58,631"
29,30-Aug-2024,EQ,296.8,302.15,294.35,296.2,299.5,299.3,298.69,340.5,127.0,"2,86,84,991","8,56,78,94,578.90","2,10,946"
30,29-Aug-2024,EQ,299.35,301.05,292.1,299.95,296.8,296.2,296.06,340.5,127.0,"1,91,85,385","5,67,99,35,752.25","3,02,454"
31,28-Aug-2024,EQ,301.05,304.5,299.5,300.9,300.25,299.95,301.31,340.5,127.0,"1,40,05,947","4,22,00,94,397.45","1,03,363"
32,27-Aug-2024,EQ,306.6,307.45,299.6,306.7,301.15,300.9,303.65,340.5,127.0,"1,68,73,099","5,12,35,32,403.85","1,41,651"
33,26-Aug-2024,EQ,308.7,308.9,305.8,306.0,306.6,306.7,307.18,340.5,127.0,"1,52,80,637","4,69,39,05,703.95","1,17,141"
34,23-Aug-2024,EQ,305.5,309.2,304.1,304.5,306.1,306.0,306.76,340.5,127.0,"2,18,91,698","6,71,53,92,732.40","1,41,433"
35,22-Aug-2024,EQ,306.4,306.9,303.5,305.4,304.2,304.5,304.89,340.5,127.0,"1,30,74,829","3,98,63,40,437.60","92,353"
36,21-Aug-2024,EQ,303.0,306.75,302.55,303.15,306.3,305.4,304.31,340.5,127.0,"1,18,62,616","3,60,98,89,376.15","98,031"
37,20-Aug-2024,EQ,302.15,304.5,297.8,302.15,302.75,303.15,301.51,340.5,127.0,"1,41,83,642","4,27,65,23,117.30","1,09,619"
38,19-Aug-2024,EQ,304.8,305.55,301.1,303.3,302.5,302.15,303.35,340.5,127.0,"1,22,32,725","3,71,08,01,334.15","1,07,693"
39,16-Aug-2024,EQ,296.5,303.9,296.0,293.7,303.55,303.3,300.35,340.5,126.75,"2,13,53,408","6,41,35,52,333.55","1,31,914"
40,14-Aug-2024,EQ,296.15,297.05,290.65,296.15,294.65,293.7,293.7,340.5,126.75,"1,66,41,055","4,88,74,01,137.35","1,30,227"
41,13-Aug-2024,EQ,302.0,302.65,295.4,301.4,296.1,296.15,299.82,340.5,126.75,"1,47,46,085","4,42,11,44,528.75","1,90,100"
42,12-Aug-2024,EQ,299.0,303.65,298.25,302.2,301.3,301.4,301.52,340.5,126.75,"1,53,61,379","4,63,18,12,090.35","1,78,931"
43,09-Aug-2024,EQ,302.5,305.0,300.65,298.25,301.9,302.2,302.87,340.5,126.6,"1,55,51,076","4,70,99,79,893.30","1,14,363"
44,08-Aug-2024,EQ,301.0,302.7,297.15,300.2,297.8,298.25,299.38,340.5,126.6,"2,19,63,656","6,57,55,58,038.15","1,51,421"
45,07-Aug-2024,EQ,295.5,301.0,289.8,287.25,300.65,300.2,295.97,340.5,126.6,"2,21,99,473","6,57,03,90,811.00","1,73,796"
46,06-Aug-2024,EQ,292.0,302.6,286.35,290.25,287.8,287.25,293.76,340.5,126.6,"3,91,71,936","11,50,72,76,878.70","3,41,869"
47,05-Aug-2024,EQ,289.85,297.45,285.0,302.95,289.35,290.25,291.31,340.5,126.6,"5,03,90,560","14,67,92,41,428.70","5,34,296"
48,02-Aug-2024,EQ,305.3,308.7,301.7,311.15,303.15,302.95,304.78,340.5,123.5,"2,61,55,604","7,97,17,22,287.35","2,85,981"
49,01-Aug-2024,EQ,317.7,317.7,308.05,316.05,311.5,311.15,312.01,340.5,123.5,"2,81,41,436","8,78,04,75,983.15","2,50,799"
